id,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_grade,loan_intent,person_home_ownership
0,141958,38,13533,6.15,0.39,N,G,EDUCATION,OWN
1,35795,31,6801,15.99,0.25,N,E,MEDICAL,MORTGAGE
2,20860,3,20190,13.83,0.3,N,B,HOMEIMPROVEMENT,MORTGAGE
3,123694,29,39754,22.75,0.46,N,G,DEBTCONSOLIDATION,RENT
4,148106,36,30592,12.02,0.07,N,F,HOMEIMPROVEMENT,OWN
5,139879,22,11647,7.34,0.19,N,D,VENTURE,RENT
6,130268,38,9716,7.86,0.44,N,G,MEDICAL,RENT
7,96820,14,24355,20.23,0.54,N,C,VENTURE,OTHER
8,74886,28,23009,17.36,0.33,Y,B,MEDICAL,RENT
9,26265,35,25376,7.02,0.34,Y,C,VENTURE,OWN
10,102386,12,5780,6.68,0.11,N,B,HOMEIMPROVEMENT,OWN
11,148214,31,3368,19.02,0.3,N,G,HOMEIMPROVEMENT,MORTGAGE
12,57194,6,13039,6.46,0.34,N,A,EDUCATION,OWN
13,107498,21,7655,21.44,0.18,N,F,DEBTCONSOLIDATION,RENT
14,132727,27,5495,19.12,0.2,N,G,VENTURE,RENT
15,146324,1,11893,6.63,0.26,N,C,PERSONAL,OWN
16,64131,5,26547,6.7,0.06,Y,D,EDUCATION,RENT
17,80263,27,23386,24.73,0.23,N,D,VENTURE,RENT
18,36023,27,14403,12.49,0.17,Y,E,VENTURE,RENT
19,61090,19,33097,12.41,0.23,N,B,EDUCATION,RENT
20,87221,29,14121,21.26,0.12,Y,C,HOMEIMPROVEMENT,RENT
21,84820,10,11966,23.94,0.54,N,E,VENTURE,RENT
22,20769,27,34621,24.72,0.38,Y,C,HOMEIMPROVEMENT,OWN
23,79735,24,29312,20.07,0.42,N,B,EDUCATION,OWN
24,82955,38,23677,12.53,0.48,N,G,HOMEIMPROVEMENT,MORTGAGE
25,84925,32,32289,6.67,0.32,N,G,MEDICAL,RENT
26,141637,0,32024,20.54,0.1,Y,D,PERSONAL,RENT
27,87969,26,5777,16.17,0.35,N,G,VENTURE,RENT
28,25311,12,30749,13.48,0.37,N,G,DEBTCONSOLIDATION,OWN
29,123355,2,16338,23.13,0.46,N,A,PERSONAL,MORTGAGE
30,124724,38,3491,7.22,0.29,N,D,HOMEIMPROVEMENT,RENT
31,103104,5,28236,14.85,0.12,Y,E,VENTURE,MORTGAGE
32,73707,7,15599,5.23,0.21,Y,F,HOMEIMPROVEMENT,RENT
33,105305,26,20508,14.37,0.25,N,A,MEDICAL,OWN
34,48693,8,4051,6.13,0.41,N,E,EDUCATION,MORTGAGE
35,91932,36,22606,7.38,0.36,Y,B,VENTURE,MORTGAGE
36,147723,32,22699,7.35,0.25,N,A,MEDICAL,MORTGAGE
37,113016,23,1876,17.98,0.59,N,E,MEDICAL,MORTGAGE
38,126970,14,33093,19.92,0.38,N,B,VENTURE,RENT
39,45658,31,5142,16.67,0.18,N,D,HOMEIMPROVEMENT,MORTGAGE
40,104478,31,16202,24.24,0.11,N,F,DEBTCONSOLIDATION,RENT
41,142537,23,8079,12.5,0.13,N,B,MEDICAL,MORTGAGE
42,38431,11,8987,10.71,0.19,Y,G,PERSONAL,OWN
43,22747,38,29940,22.37,0.14,Y,C,MEDICAL,MORTGAGE
44,143855,1,38233,9.47,0.15,N,B,DEBTCONSOLIDATION,OWN
45,79150,2,18019,24.26,0.21,N,B,HOMEIMPROVEMENT,OWN
46,85725,36,19077,5.24,0.15,N,F,HOMEIMPROVEMENT,OWN
47,149981,16,27258,24.4,0.54,N,C,PERSONAL,MORTGAGE
48,104654,1,22136,5.86,0.09,N,G,MEDICAL,RENT
49,55773,1,9311,22.82,0.34,N,E,HOMEIMPROVEMENT,RENT
50,139346,27,18214,15.55,0.28,Y,E,DEBTCONSOLIDATION,RENT
51,87435,22,15098,24.86,0.59,Y,B,VENTURE,RENT
52,76886,36,29251,6.48,0.11,N,C,EDUCATION,MORTGAGE
53,86803,31,38945,16.08,0.27,N,C,EDUCATION,RENT
54,51551,32,26945,24.39,0.58,Y,G,EDUCATION,OTHER
55,136216,0,26316,15.46,0.53,N,F,MEDICAL,RENT
56,31394,18,33217,17.59,0.5,N,D,PERSONAL,RENT
57,89092,1,9308,18.91,0.19,N,E,HOMEIMPROVEMENT,MORTGAGE
58,23890,25,6949,14.09,0.14,Y,F,VENTURE,OWN
59,61606,31,2150,17.55,0.42,Y,A,DEBTCONSOLIDATION,OWN
60,116276,5,24944,16.69,0.56,N,E,VENTURE,OWN
61,145768,31,35699,23.02,0.36,Y,F,DEBTCONSOLIDATION,MORTGAGE
62,100038,3,10204,5.91,0.36,N,E,MEDICAL,RENT
63,107313,10,2081,10.62,0.2,N,D,EDUCATION,OTHER
64,30627,16,30305,24.01,0.47,Y,A,MEDICAL,OTHER
